VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,total_amount
1,2015-01-15 11:49:54 +00:00,2015-01-15 11:59:59 +00:00,1,0.9,-74.00165558,40.74570465,-73.98720551,40.73950577,8,1.06,9.86
1,2015-01-15 11:49:54 +00:00,2015-01-15 11:50:33 +00:00,1,0,-73.94851685,40.74454117,-73.94844818,40.74446869,20,0,20.3
1,2015-01-15 11:49:54 +00:00,2015-01-15 12:20:30 +00:00,1,9.9,-73.95471954,40.6891098,-73.87099457,40.77423859,31,0,31.8
1,2015-01-15 11:49:54 +00:00,2015-01-15 11:51:35 +00:00,1,0.3,-73.97939301,40.78484344,-73.98139191,40.78102112,3.5,1.07,5.37
1,2015-01-15 11:49:55 +00:00,2015-01-15 12:15:37 +00:00,1,2.1,-73.96233368,40.7553978,-73.9940567,40.75914383,16,0,16.8
1,2015-01-15 11:49:55 +00:00,2015-01-15 12:23:44 +00:00,2,2.2,-73.9991684,40.72670746,-73.98468781,40.75434113,20,6.2,27
1,2015-01-15 11:49:55 +00:00,2015-01-15 12:01:31 +00:00,1,1.9,-73.99319458,40.74750137,-73.99531555,40.72745132,9,1.96,11.76
1,2015-01-15 11:49:55 +00:00,2015-01-15 11:57:33 +00:00,1,1.3,-73.98823547,40.76163101,-73.97983551,40.77527237,7,1.55,9.35
1,2015-01-15 11:49:55 +00:00,2015-01-15 12:02:53 +00:00,1,1.5,-73.98677063,40.74547958,-73.97886658,40.76271439,9.5,2.06,12.36
1,2015-01-15 11:49:55 +00:00,2015-01-15 11:54:40 +00:00,1,0.8,-73.99420166,40.75626373,-73.99887848,40.74616241,5,0,5.8
1,2015-01-15 11:49:56 +00:00,2015-01-15 12:38:59 +00:00,3,17.4,-73.9848175,40.75334549,-73.78993988,40.6469841,52,0,58.13
1,2015-01-15 11:49:56 +00:00,2015-01-15 11:56:08 +00:00,1,0.9,-73.98517609,40.75651169,-73.98495483,40.74806595,6,1.36,8.16
1,2015-01-15 11:49:56 +00:00,2015-01-15 12:02:54 +00:00,1,1.4,-73.98865509,40.7688942,-73.97301483,40.78256226,10,0,10.8
1,2015-01-15 11:49:56 +00:00,2015-01-15 12:01:01 +00:00,1,1.8,-73.96639252,40.78882599,-73.98210907,40.76841354,9.5,2,12.3
1,2015-01-15 11:49:57 +00:00,2015-01-15 12:03:47 +00:00,4,1.9,-73.9731369,40.75410843,-73.98535156,40.73196411,10.5,0,11.3
1,2015-01-15 11:49:57 +00:00,2015-01-15 12:03:11 +00:00,1,0.9,-73.97318268,40.75216675,-73.98213196,40.75175858,9.5,2.05,12.35
1,2015-01-15 11:49:57 +00:00,2015-01-15 11:58:02 +00:00,1,0.9,-73.99911499,40.72656631,-73.99121094,40.71820831,7,1.55,9.35
1,2015-01-15 11:49:57 +00:00,2015-01-15 12:14:42 +00:00,1,2.8,-73.99176788,40.74915695,-73.95938873,40.76327515,16.5,3.46,20.76
1,2015-01-15 12:09:15 +00:00,2015-01-15 12:24:25 +00:00,1,1.5,-73.98931885,40.73603058,-73.98506165,40.75305939,10.5,2.8,14.1
1,2015-01-15 12:09:15 +00:00,2015-01-15 12:46:14 +00:00,1,17,-73.98258209,40.73946762,-73.77700043,40.6446991,52,15.8,68.6
1,2015-01-15 12:09:16 +00:00,2015-01-15 12:22:54 +00:00,1,3.5,-74.0118866,40.71377945,-74.00259399,40.76077271,13.5,2,16.3
1,2015-01-15 12:09:16 +00:00,2015-01-15 12:26:07 +00:00,1,0.9,-73.96848297,40.76449585,-73.97989655,40.75763321,11,2,13.8
1,2015-01-15 12:09:16 +00:00,2015-01-15 12:21:53 +00:00,2,2.1,-73.97838593,40.75712967,-73.98999023,40.73477173,10.5,3.39,14.69
1,2015-01-15 12:09:16 +00:00,2015-01-15 12:19:48 +00:00,1,1.4,-73.97607422,40.75993729,-73.96143341,40.77157211,8.5,0,9.3
1,2015-01-15 12:09:16 +00:00,2015-01-15 12:14:50 +00:00,1,0.7,-73.99591827,40.75410461,-73.98538208,40.74870682,5.5,0,6.3
1,2015-01-15 12:09:16 +00:00,2015-01-15 12:22:32 +00:00,1,2.6,-73.98551941,40.76311111,-73.95552063,40.7767334,11.5,3.65,15.95
1,2015-01-15 12:09:16 +00:00,2015-01-15 12:26:30 +00:00,1,1.5,-74.00605774,40.74533844,-73.9868927,40.75108337,12,2.55,15.35
1,2015-01-15 12:09:17 +00:00,2015-01-15 12:21:25 +00:00,1,1.5,-73.97014618,40.78909683,-73.95428467,40.78998566,9.5,0,10.3
1,2015-01-15 12:09:18 +00:00,2015-01-15 12:27:32 +00:00,1,2.9,-73.9768219,40.75079346,-74.00571442,40.7264595,13.5,2.85,17.15
1,2015-01-15 12:09:18 +00:00,2015-01-15 12:34:06 +00:00,1,4.5,-73.94947815,40.78125381,-73.98471832,40.73619461,19,3.95,23.75
1,2015-01-15 12:09:19 +00:00,2015-01-15 12:16:46 +00:00,1,1.2,-73.99941254,40.72211075,-73.99222565,40.73061752,7,1.55,9.35
1,2015-01-15 12:09:19 +00:00,2015-01-15 12:18:59 +00:00,1,1.5,-74.00551605,40.73760223,-74.00695038,40.71791077,8,0,8.8
1,2015-01-15 12:09:19 +00:00,2015-01-15 12:09:49 +00:00,1,0,-73.97665405,40.74756622,-73.97657776,40.74789429,52,11.6,69.73
1,2015-01-15 12:09:19 +00:00,2015-01-15 12:19:40 +00:00,1,1,-73.96508026,40.77230072,-73.96895599,40.76291275,8,1,9.8
1,2015-01-15 12:09:19 +00:00,2015-01-15 12:21:35 +00:00,1,0.5,-73.97304535,40.75561142,-73.97867584,40.75485992,8.5,1.85,11.15
1,2015-01-15 12:09:20 +00:00,2015-01-15 12:16:18 +00:00,1,0.8,-73.96009827,40.76205063,-73.95944214,40.77100372,6.5,0,7.3
1,2015-01-15 12:09:20 +00:00,2015-01-15 12:11:19 +00:00,1,0.3,-73.98959351,40.76280975,-73.99365997,40.75977707,3.5,0,4.3
1,2015-01-15 12:09:21 +00:00,2015-01-15 12:26:54 +00:00,1,1.4,-73.98150635,40.74670792,-73.97824097,40.76279449,12,2.56,15.36
1,2015-01-15 12:09:21 +00:00,2015-01-15 12:35:03 +00:00,1,5.5,-74.01249695,40.70261383,-73.98406219,40.76308823,21.5,0,22.3
1,2015-01-15 13:08:41 +00:00,2015-01-15 13:26:26 +00:00,1,1.8,-73.99486542,40.72507477,-73.99129486,40.74486542,12.5,3.32,16.62
1,2015-01-15 13:08:42 +00:00,2015-01-15 13:19:14 +00:00,1,1.3,-73.97502136,40.75313187,-73.9878006,40.73916626,8.5,1.5,10.8
1,2015-01-15 13:08:43 +00:00,2015-01-15 13:17:41 +00:00,1,0.6,-73.98260498,40.73439026,-73.97531128,40.74148941,7,1.95,9.75
1,2015-01-15 13:08:43 +00:00,2015-01-15 13:19:05 +00:00,2,1.3,-73.98284912,40.7354126,-73.99924469,40.7266922,8.5,0,9.3
